2025-06-12 20:00:34,049 - __main__ - INFO - Configuration loaded successfully from config/expansive_grid_search.yaml
2025-06-12 20:00:34,049 - __main__ - INFO - Limiting data to 50 bars
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,160 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,161 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,162 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,163 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
2025-06-12 20:00:34,164 - src.core.coordinator.topology - INFO - Strategy 'mean_reversion' requires features: ['bollinger_2', 'bollinger_20', 'rsi_14', 'sma_20']
