strategy_idx,strategy_name,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,target_threshold
10,SPY_15m_compiled_strategy_10,981,3.2058823529411766,0.5035677879714577,-0.07956135644099782,-0.09421889449827181,-8.040321306001834e-05,2.326197757390418,30.0,3.0,0.004,0.0015
11,SPY_15m_compiled_strategy_11,778,2.542483660130719,0.4922879177377892,-0.06095391470713618,-0.07231968345152973,-7.656272947037654e-05,2.269922879177378,30.0,3.0,0.004,0.002
12,SPY_15m_compiled_strategy_12,588,1.9215686274509804,0.47619047619047616,-0.0896140243149588,-0.10601443212995565,-0.00015471326710289013,2.29421768707483,30.0,3.0,0.004,0.0025
13,SPY_15m_compiled_strategy_13,487,1.591503267973856,0.4784394250513347,-0.060659743665411825,-0.07197279222011332,-0.00012304278148944452,2.248459958932238,30.0,3.0,0.004,0.003
14,SPY_15m_compiled_strategy_14,315,1.0294117647058822,0.48253968253968255,-0.0008521365134581682,-0.0010170496032176901,3.1272767563708375e-06,2.2444444444444445,30.0,3.0,0.004,0.004
15,SPY_15m_compiled_strategy_15,220,0.7189542483660131,0.45,-0.035422124050288106,-0.04213442094617825,-0.0001604688917200416,2.081818181818182,30.0,3.0,0.004,0.005
16,SPY_15m_compiled_strategy_16,1425,4.6568627450980395,0.5214035087719299,-0.08098442158373287,-0.0958902042795865,-5.543093297616713e-05,2.7494736842105265,30.0,3.0,0.005,0.0005
17,SPY_15m_compiled_strategy_17,1198,3.915032679738562,0.5008347245409015,-0.15388659234301205,-0.1808248725901318,-0.00013560245816005584,2.48330550918197,30.0,3.0,0.005,0.001
18,SPY_15m_compiled_strategy_18,963,3.1470588235294117,0.4984423676012461,-0.12082325228122026,-0.1424729876654125,-0.00012935117413559206,2.3904465212876427,30.0,3.0,0.005,0.0015
19,SPY_15m_compiled_strategy_19,763,2.4934640522875817,0.49017038007863695,-0.08943669856010461,-0.10580658034736778,-0.00011830429092562543,2.325032765399738,30.0,3.0,0.005,0.002
20,SPY_15m_compiled_strategy_20,575,1.8790849673202614,0.47130434782608693,-0.12083235234523448,-0.1424835822620374,-0.00021874119459613242,2.373913043478261,30.0,3.0,0.005,0.0025
21,SPY_15m_compiled_strategy_21,485,1.5849673202614378,0.47216494845360824,-0.09089662816856459,-0.10751759840925412,-0.00019079200477576058,2.3092783505154637,30.0,3.0,0.005,0.003
22,SPY_15m_compiled_strategy_22,317,1.0359477124183007,0.4794952681388013,-0.016193296036386196,-0.01929832745800597,-4.544698267620234e-05,2.277602523659306,30.0,3.0,0.005,0.004
23,SPY_15m_compiled_strategy_23,223,0.7287581699346405,0.4484304932735426,-0.041050559853870294,-0.04880215068762506,-0.00018442158599365905,2.094170403587444,30.0,3.0,0.005,0.005
24,SPY_15m_compiled_strategy_24,1455,4.754901960784314,0.5230240549828179,-0.03076672371817457,-0.03661370096595529,-1.788570781480919e-05,2.6288659793814433,30.0,4.0,0.003,0.0005
25,SPY_15m_compiled_strategy_25,1221,3.9901960784313726,0.5028665028665029,-0.10538776301005504,-0.1244720585133724,-8.767321425235909e-05,2.366093366093366,30.0,4.0,0.003,0.001
26,SPY_15m_compiled_strategy_26,976,3.189542483660131,0.5020491803278688,-0.06458050796430392,-0.07659449037079469,-6.446165477078074e-05,2.307377049180328,30.0,4.0,0.003,0.0015
27,SPY_15m_compiled_strategy_27,773,2.526143790849673,0.49288486416558863,-0.04802525428840043,-0.05705421523250864,-5.962660996348826e-05,2.2289780077619663,30.0,4.0,0.003,0.002
28,SPY_15m_compiled_strategy_28,580,1.8954248366013071,0.47758620689655173,-0.07441408562325424,-0.08816954130339194,-0.00012871257450714404,2.2482758620689656,30.0,4.0,0.003,0.0025
29,SPY_15m_compiled_strategy_29,480,1.5686274509803921,0.48333333333333334,-0.039205672132153424,-0.04661743599624946,-7.817782597538015e-05,2.220833333333333,30.0,4.0,0.003,0.003
30,SPY_15m_compiled_strategy_30,313,1.022875816993464,0.4792332268370607,-0.001568510965533676,-0.0018719333230657886,5.876976669239643e-07,2.246006389776358,30.0,4.0,0.003,0.004
31,SPY_15m_compiled_strategy_31,219,0.7156862745098039,0.4474885844748858,-0.031619999677795274,-0.03762596412638741,-0.00014356753908378015,2.0821917808219177,30.0,4.0,0.003,0.005
32,SPY_15m_compiled_strategy_32,1446,4.7254901960784315,0.5221300138312587,-0.03665219798420627,-0.0435922736414871,-2.211961966246653e-05,2.685338865836791,30.0,4.0,0.004,0.0005
