entry_time,exit_time,entry_price,exit_price,direction,net_return,pnl,equity_after,exit_type,configuration,month
2025-01-28 18:10:00,2025-01-28 18:20:00,604.5398,604.4201,-1,-1.9981480128088136e-06,-0.19981480128088136,99999.80018519872,signal,No Stop/Target,
2025-01-28 19:00:00,2025-01-28 19:05:00,603.4701,603.38,1,-0.0003493031717727303,-34.930247381329174,99964.86993781739,signal,No Stop/Target,
2025-01-28 19:35:00,2025-01-28 19:55:00,604.55,605.14,-1,-0.0011759325117856785,-117.55194059630627,99847.31799722108,signal,No Stop/Target,
2025-01-29 14:30:00,2025-01-29 14:45:00,603.25,602.795,1,-0.0009542478242851901,-95.27908595955972,99752.03891126152,signal,No Stop/Target,
2025-01-29 17:55:00,2025-01-29 18:05:00,602.08,601.65,1,-0.0009141908052087158,-91.19239677349732,99660.84651448803,signal,No Stop/Target,
2025-01-29 19:00:00,2025-01-29 19:20:00,600.26,599.82,1,-0.000933015693199515,-92.98513379556552,99567.86138069247,signal,No Stop/Target,
2025-01-29 19:40:00,2025-01-29 19:55:00,602.56,602.32,-1,0.00019830058417401658,19.74436507674882,99587.60574576922,signal,No Stop/Target,
2025-01-29 20:20:00,2025-01-29 20:30:00,603.03,603.16,-1,-0.0004155779977778808,-41.38641779931975,99546.2193279699,signal,No Stop/Target,
2025-01-30 14:30:00,2025-01-30 14:50:00,603.72,605.51,-1,-0.0031649506393691836,-315.0588705088433,99231.16045746105,signal,No Stop/Target,
2025-01-30 15:25:00,2025-01-30 15:30:00,602.63,602.92,1,0.0002812239682723456,27.90618072011706,99259.06663818118,signal,No Stop/Target,
2025-01-30 15:50:00,2025-01-30 16:05:00,602.25,601.36,1,-0.0016777916147778936,-166.53602969622054,99092.53060848496,signal,No Stop/Target,
2025-01-30 16:10:00,2025-01-30 16:15:00,600.77,601.5197,1,0.0010478985302194877,103.83891718036098,99196.36952566532,signal,No Stop/Target,
2025-01-30 16:35:00,2025-01-30 16:40:00,603.1097,603.12,-1,-0.00021707815344377532,-21.533364724957814,99174.83616094035,signal,No Stop/Target,
2025-01-30 16:50:00,2025-01-30 16:55:00,603.93,604.0401,-1,-0.00038230589637888864,-37.91512463673772,99136.92103630361,signal,No Stop/Target,
2025-01-30 17:25:00,2025-01-30 17:30:00,602.37,602.59,1,0.00016522403174133387,16.37980178804034,99153.30083809166,signal,No Stop/Target,
2025-01-30 18:00:00,2025-01-30 18:10:00,603.475,603.76,-1,-0.0006722647997016748,-66.6572739276796,99086.64356416398,signal,No Stop/Target,
2025-01-30 18:20:00,2025-01-30 18:25:00,604.225,604.0,-1,0.00017237783938106287,17.080341529112086,99103.7239056931,signal,No Stop/Target,
2025-01-30 18:30:00,2025-01-30 18:40:00,604.52,604.7,-1,-0.0004977568980349098,-49.329562195005934,99054.39434349809,signal,No Stop/Target,
2025-01-30 19:55:00,2025-01-30 20:10:00,605.6801,606.0805,-1,-0.0008610750460515221,-85.29326717093325,98969.10107632716,signal,No Stop/Target,
2025-01-30 20:35:00,2025-01-30 20:45:00,603.69,603.89,1,0.0001312958637710278,12.994233612458531,98982.09530993961,signal,No Stop/Target,
2025-01-31 14:30:00,2025-01-31 14:35:00,607.39,607.6607,-1,-0.0006456774066086592,-63.91050260041293,98918.1848073392,signal,No Stop/Target,
2025-01-31 15:30:00,2025-01-31 15:35:00,609.51,609.46,-1,-0.00011796689143745875,-11.669070768357866,98906.51573657084,signal,No Stop/Target,
2025-01-31 18:15:00,2025-01-31 18:35:00,607.8,605.82,1,-0.0034576505429416006,-341.9841678370161,98564.53156873383,signal,No Stop/Target,
2025-01-31 19:05:00,2025-01-31 19:10:00,603.8,604.84,1,0.0015224246439219564,150.05707187686403,98714.58864061069,signal,No Stop/Target,
2025-01-31 19:35:00,2025-01-31 19:50:00,603.67,603.51,1,-0.0004650454718637139,-45.90677245420521,98668.68186815648,signal,No Stop/Target,
2025-01-31 20:00:00,2025-01-31 20:10:00,601.68,601.79,1,-1.7178566679940078e-05,-1.6949865306939205,98666.98688162578,signal,No Stop/Target,
2025-01-31 20:45:00,2025-01-31 20:50:00,602.46,601.99,-1,0.000580134780732376,57.240150800096195,98724.22703242587,signal,No Stop/Target,
